Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume,Name
1,384PP_Plus_AQ_GP,K8,1,F1,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F1,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F1,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F1,349.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F2,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F2,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F2,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F2,249.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F3,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F3,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F3,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F3,149.50000000000014,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F4,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F4,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F4,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F4,99.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F6,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F6,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F6,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F6,349.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F7,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F7,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F7,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F7,249.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F8,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F8,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F8,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F8,149.50000000000014,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F9,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F9,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F9,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F9,99.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F11,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F11,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F11,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F11,349.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F12,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F12,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F12,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F12,249.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F13,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F13,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F13,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F13,149.50000000000014,MilliQ
1,384PP_Plus_AQ_GP,K8,1,F14,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F14,0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,F14,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,F14,99.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G1,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G1,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G1,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G1,324.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G2,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G2,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G2,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G2,224.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G3,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G3,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G3,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G3,124.50000000000023,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G4,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G4,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G4,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G4,74.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G6,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G6,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G6,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G6,324.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G7,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G7,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G7,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G7,224.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G8,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G8,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G8,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G8,124.50000000000023,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G9,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G9,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G9,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G9,74.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G11,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G11,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G11,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G11,324.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G12,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G12,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G12,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G12,224.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G13,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G13,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G13,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G13,124.50000000000023,MilliQ
1,384PP_Plus_AQ_GP,K8,1,G14,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G14,25.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,G14,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,G14,74.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,H1,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H1,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H1,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H1,299.5,MilliQ
1,384PP_Plus_AQ_GP,K8,1,H2,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H2,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H2,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H2,199.49999999999994,MilliQ
1,384PP_Plus_AQ_GP,K8,1,H3,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H3,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H3,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H3,99.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H4,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H4,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H4,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H4,49.50000000000004,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H6,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H6,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H6,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H6,299.5,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H7,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H7,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H7,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H7,199.49999999999994,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H8,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H8,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H8,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H8,99.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H9,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H9,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H9,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H9,49.50000000000004,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H11,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H11,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H11,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H11,299.5,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H12,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H12,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H12,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H12,199.49999999999994,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H13,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H13,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H13,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H13,99.50000000000009,MilliQ
1,384PP_Plus_AQ_GP,L8,1,H14,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,H14,50.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,H14,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,H14,49.50000000000004,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I1,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I1,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I1,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I1,249.5,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I2,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I2,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I2,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I2,149.49999999999991,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I3,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I3,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I3,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I3,49.50000000000004,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I4,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I4,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I4,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I4,-0.5,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I6,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I6,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I6,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I6,249.5,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I7,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I7,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I7,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I7,149.49999999999991,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I8,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I8,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I8,200.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I8,49.50000000000004,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I9,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I9,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I9,250.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I9,-0.5,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I11,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I11,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I11,0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I11,249.5,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I12,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I12,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I12,100.0,DNA_4
1,384PP_Plus_AQ_SP,E4,1,I12,149.49999999999991,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I13,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I13,100.0,DNA_3
1,384PP_Plus_AQ_SP,K10,1,I13,200.0,DNA_4
1,384PP_Plus_AQ_SP,,1,I13,49.50000000000004,MilliQ
1,384PP_Plus_AQ_GP,L8,1,I14,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,I14,100.0,DNA_3
