Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume,Name
1,384PP_Plus_AQ_GP,K8,1,F1,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F1,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F1,0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F1,350.0,water
1,384PP_Plus_AQ_GP,K8,1,F2,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F2,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F2,100.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F2,250.0,water
1,384PP_Plus_AQ_GP,K8,1,F3,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F3,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F3,200.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F3,150.0,water
1,384PP_Plus_AQ_GP,K8,1,F4,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F4,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F4,250.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F4,100.0,water
1,384PP_Plus_AQ_GP,K8,1,F6,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F6,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F6,0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F6,350.0,water
1,384PP_Plus_AQ_GP,K8,1,F7,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F7,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F7,100.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F7,250.0,water
1,384PP_Plus_AQ_GP,K8,1,F8,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F8,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F8,200.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F8,150.0,water
1,384PP_Plus_AQ_GP,K8,1,F9,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F9,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F9,250.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F9,100.0,water
1,384PP_Plus_AQ_GP,K8,1,F11,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F11,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F11,0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F11,350.0,water
1,384PP_Plus_AQ_GP,K8,1,F12,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F12,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F12,100.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F12,250.0,water
1,384PP_Plus_AQ_GP,K8,1,F13,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F13,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F13,200.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F13,150.0,water
1,384PP_Plus_AQ_GP,K8,1,F14,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,F14,0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,F14,250.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,F14,100.0,water
1,384PP_Plus_AQ_GP,K8,1,G1,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G1,25.0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,G1,0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,G1,325.0,water
1,384PP_Plus_AQ_GP,K8,1,G2,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G2,25.0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,G2,100.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,G2,225.0,water
1,384PP_Plus_AQ_GP,K8,1,G3,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G3,25.0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,G3,200.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,G3,125.0,water
1,384PP_Plus_AQ_GP,K8,1,G4,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G4,25.0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,G4,250.0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,G4,75.0,water
1,384PP_Plus_AQ_GP,K8,1,G6,1650.0,TX-TL master mix
1,384PP_Plus_AQ_SP,K9,1,G6,25.0,DNA_1
1,384PP_Plus_AQ_SP,K10,1,G6,0,DNA_2
1,384PP_Plus_AQ_SP,E5,1,G6,325.0,water
